name,a,t,r,pp,latency,fps,iou,size
a1t6r3pp1,1,6,3,1,0.2204,4.5372,0.9777,"4,5"
a075t6r3pp1,"0,75",6,3,1,0.1648,6.0679,0.9771,"2,6"
a05t6r3pp1,"0,5",6,3,1,0.1000,10.0000,0.9782,"1,2"
a025t6r3pp1,"0,25",6,3,1,0.0485,20.6185,0.9762,"0,338"
a0125t6r3pp1,"0,125",6,3,1,0.0265,37.7358,0.9711,"0,111"
a05t4r3pp1,"0,5",4,3,1,0.0871,11.4810,0.9773,"0,834"
a025t4r3pp1,"0,25",4,3,1,0.0420,23.8095,0.9738,"0,242"
a0125t4r3pp1,"0,125",4,3,1,0.0238,42.0168,0.9716,"0,083"
a025t2r3pp1,"0,25",2,3,1,0.0354,28.2485,0.9740,"0,145"
a0125t2r3pp1,"0,125",2,3,1,0.0212,47.1698,0.9686,"0,054"
a1t6r3pp0,1,6,3,0,0.2391,4.1823,0.9792,"4,3"
a1t6r2pp1,1,6,2,1,0.1973,5.0684,0.9741,3
a1t6r1pp1,1,6,1,1,0.1643,6.0864,0.9778,"1,5"
a1t6r1pp0,1,6,1,0,0.1663,6.0132,0.9802,"1,5"
a025t6r2pp0,"0,25",6,2,0,0.0435,22.9885,0.9744,"0,214"
a025t6r1pp0,"0,25",6,1,0,0.0383,26.1096,0.9747,"0,103"
a025t4r2pp0,"0,25",4,2,0,0.0380,26.3158,0.9711,"0,153"
a025t4r1pp0,"0,25",4,1,0,0.0352,28.4090,0.9733,"0,078"
a025t2r2pp0,"0,25",2,2,0,0.0344,29.0697,0.9733,"0,092"
a025t2r1pp0,"0,25",2,1,0,0.0320,31.2500,0.9702,"0,053"
a0125t6r2pp0,"0,125",6,2,0,0.0243,41.1522,0.9739,"0,07"
a0125t6r1pp0,"0,125",6,1,0,0.0224,44.6428,0.9701,"0,036"
a0125t4r2pp0,"0,125",4,2,0,0.0219,45.6621,0.9717,"0,052"
a0125t4r1pp0,"0,125",4,1,0,0.0203,49.2610,0.9614,"0,028"
a0125t2r2pp0,"0,125",2,2,0,0.0209,47.8468,0.9706,"0,034"
a0125t2r1pp0,"0,125",2,1,0,0.0201,49.7512,0.9677,"0,021"
512x512x3,1,6,3,0,0.2177,4.5934,0.9788,"4,208"
256x256x3,1,6,3,0,0.0639,15.6495,0.9729,"4,208"
224x224x3,1,6,3,0,0.0467,21.4133,0.9708,"4,208"
192x192x3,1,6,3,0,0.0350,28.5714,0.9723,"4,208"
160x160x3,1,6,3,0,0.0260,38.4615,0.9641,"4,208"
128x128x3,1,6,3,0,0.0165,60.6061,0.9564,"4,208"
96x96x3,1,6,3,0,0.0119,84.0336,0.9393,"4,208"
512x512x1,1,6,3,0,0.2068,4.8356,0.9715,"4,206"
256x256x1,1,6,3,0,0.0553,18.0832,0.9542,"4,206"
224x224x1,1,6,3,0,0.0435,22.9885,0.9458,"4,206"
192x192x1,1,6,3,0,0.0343,29.1545,0.9335,"4,206"
160x160x1,1,6,3,0,0.0249,40.1606,0.9227,"4,206"
128x128x1,1,6,3,0,0.0158,63.2911,0.9219,"4,206"
96x96x1,1,6,3,0,0.0116,86.2069,0.8974,"4,206"
